index,s,value_lower,value_upper
3051,3051/32,0,13/4000000000000000000000000000000
3052,763/8,0,13/4000000000000000000000000000000
3053,3053/32,0,13/4000000000000000000000000000000
3054,1527/16,0,13/4000000000000000000000000000000
3055,3055/32,0,13/4000000000000000000000000000000
3056,191/2,0,13/4000000000000000000000000000000
3057,3057/32,0,13/4000000000000000000000000000000
3058,1529/16,0,13/4000000000000000000000000000000
3059,3059/32,0,13/4000000000000000000000000000000
3060,765/8,0,13/4000000000000000000000000000000
3061,3061/32,0,13/4000000000000000000000000000000
3062,1531/16,0,13/4000000000000000000000000000000
3063,3063/32,0,13/4000000000000000000000000000000
3064,383/4,0,13/4000000000000000000000000000000
3065,3065/32,0,13/4000000000000000000000000000000
3066,1533/16,0,13/4000000000000000000000000000000
3067,3067/32,0,13/4000000000000000000000000000000
3068,767/8,0,13/4000000000000000000000000000000
3069,3069/32,0,13/4000000000000000000000000000000
3070,1535/16,0,13/4000000000000000000000000000000
3071,3071/32,0,13/4000000000000000000000000000000
3072,96,0,13/4000000000000000000000000000000
3073,3073/32,0,13/4000000000000000000000000000000
3074,1537/16,0,13/4000000000000000000000000000000
3075,3075/32,0,13/4000000000000000000000000000000
3076,769/8,0,13/4000000000000000000000000000000
3077,3077/32,0,13/4000000000000000000000000000000
3078,1539/16,0,13/4000000000000000000000000000000
3079,3079/32,0,13/4000000000000000000000000000000
3080,385/4,0,13/4000000000000000000000000000000
3081,3081/32,0,13/4000000000000000000000000000000
3082,1541/16,0,13/4000000000000000000000000000000
3083,3083/32,0,13/4000000000000000000000000000000
3084,771/8,0,13/4000000000000000000000000000000
3085,3085/32,0,13/4000000000000000000000000000000
3086,1543/16,0,13/4000000000000000000000000000000
3087,3087/32,0,13/4000000000000000000000000000000
3088,193/2,0,13/4000000000000000000000000000000
3089,3089/32,0,13/4000000000000000000000000000000
3090,1545/16,0,13/4000000000000000000000000000000
3091,3091/32,0,13/4000000000000000000000000000000
3092,773/8,0,13/4000000000000000000000000000000
3093,3093/32,0,13/4000000000000000000000000000000
3094,1547/16,0,13/4000000000000000000000000000000
3095,3095/32,0,13/4000000000000000000000000000000
3096,387/4,0,13/4000000000000000000000000000000
3097,3097/32,0,13/4000000000000000000000000000000
3098,1549/16,0,13/4000000000000000000000000000000
3099,3099/32,0,13/4000000000000000000000000000000
3100,775/8,0,13/4000000000000000000000000000000
3101,3101/32,0,13/4000000000000000000000000000000
3102,1551/16,0,13/4000000000000000000000000000000
3103,3103/32,0,13/4000000000000000000000000000000
3104,97,0,13/4000000000000000000000000000000
3105,3105/32,0,13/4000000000000000000000000000000
3106,1553/16,0,13/4000000000000000000000000000000
3107,3107/32,0,13/4000000000000000000000000000000
3108,777/8,0,13/4000000000000000000000000000000
3109,3109/32,0,13/4000000000000000000000000000000
3110,1555/16,0,13/4000000000000000000000000000000
3111,3111/32,0,13/4000000000000000000000000000000
3112,389/4,0,13/4000000000000000000000000000000
3113,3113/32,0,13/4000000000000000000000000000000
3114,1557/16,0,13/4000000000000000000000000000000
3115,3115/32,0,13/4000000000000000000000000000000
3116,779/8,0,13/4000000000000000000000000000000
3117,3117/32,0,13/4000000000000000000000000000000
3118,1559/16,0,13/4000000000000000000000000000000
3119,3119/32,0,13/4000000000000000000000000000000
3120,195/2,0,13/4000000000000000000000000000000
3121,3121/32,0,13/4000000000000000000000000000000
3122,1561/16,0,13/4000000000000000000000000000000
3123,3123/32,0,13/4000000000000000000000000000000
3124,781/8,0,13/4000000000000000000000000000000
3125,3125/32,0,13/4000000000000000000000000000000
3126,1563/16,0,13/4000000000000000000000000000000
3127,3127/32,0,13/4000000000000000000000000000000
3128,391/4,0,13/4000000000000000000000000000000
3129,3129/32,0,13/4000000000000000000000000000000
3130,1565/16,0,13/4000000000000000000000000000000
3131,3131/32,0,13/4000000000000000000000000000000
3132,783/8,0,13/4000000000000000000000000000000
3133,3133/32,0,13/4000000000000000000000000000000
3134,1567/16,0,13/4000000000000000000000000000000
3135,3135/32,0,13/4000000000000000000000000000000
3136,98,0,13/4000000000000000000000000000000
3137,3137/32,0,13/4000000000000000000000000000000
3138,1569/16,0,13/4000000000000000000000000000000
3139,3139/32,0,13/4000000000000000000000000000000
3140,785/8,0,13/4000000000000000000000000000000
3141,3141/32,0,13/4000000000000000000000000000000
3142,1571/16,0,13/4000000000000000000000000000000
3143,3143/32,0,13/4000000000000000000000000000000
3144,393/4,0,13/4000000000000000000000000000000
3145,3145/32,0,13/4000000000000000000000000000000
3146,1573/16,0,13/4000000000000000000000000000000
3147,3147/32,0,13/4000000000000000000000000000000
3148,787/8,0,13/4000000000000000000000000000000
3149,3149/32,0,13/4000000000000000000000000000000
3150,1575/16,0,13/4000000000000000000000000000000
3151,3151/32,0,13/4000000000000000000000000000000
3152,197/2,0,13/4000000000000000000000000000000
3153,3153/32,0,13/4000000000000000000000000000000
3154,1577/16,0,13/4000000000000000000000000000000
3155,3155/32,0,13/4000000000000000000000000000000
3156,789/8,0,13/4000000000000000000000000000000
3157,3157/32,0,13/4000000000000000000000000000000
3158,1579/16,0,13/4000000000000000000000000000000
3159,3159/32,0,13/4000000000000000000000000000000
3160,395/4,0,13/4000000000000000000000000000000
3161,3161/32,0,13/4000000000000000000000000000000
3162,1581/16,0,13/4000000000000000000000000000000
3163,3163/32,0,13/4000000000000000000000000000000
3164,791/8,0,13/4000000000000000000000000000000
3165,3165/32,0,13/4000000000000000000000000000000
3166,1583/16,0,13/4000000000000000000000000000000
3167,3167/32,0,13/4000000000000000000000000000000
3168,99,0,13/4000000000000000000000000000000
3169,3169/32,0,13/4000000000000000000000000000000
3170,1585/16,0,13/4000000000000000000000000000000
3171,3171/32,0,13/4000000000000000000000000000000
3172,793/8,0,13/4000000000000000000000000000000
3173,3173/32,0,13/4000000000000000000000000000000
3174,1587/16,0,13/4000000000000000000000000000000
3175,3175/32,0,13/4000000000000000000000000000000
3176,397/4,0,13/4000000000000000000000000000000
3177,3177/32,0,13/4000000000000000000000000000000
3178,1589/16,0,13/4000000000000000000000000000000
3179,3179/32,0,13/4000000000000000000000000000000
3180,795/8,0,13/4000000000000000000000000000000
3181,3181/32,0,13/4000000000000000000000000000000
3182,1591/16,0,13/4000000000000000000000000000000
3183,3183/32,0,13/4000000000000000000000000000000
3184,199/2,0,13/4000000000000000000000000000000
3185,3185/32,0,13/4000000000000000000000000000000
3186,1593/16,0,13/4000000000000000000000000000000
3187,3187/32,0,13/4000000000000000000000000000000
3188,797/8,0,13/4000000000000000000000000000000
3189,3189/32,0,13/4000000000000000000000000000000
3190,1595/16,0,13/4000000000000000000000000000000
3191,3191/32,0,13/4000000000000000000000000000000
3192,399/4,0,13/4000000000000000000000000000000
3193,3193/32,0,13/4000000000000000000000000000000
3194,1597/16,0,13/4000000000000000000000000000000
3195,3195/32,0,13/4000000000000000000000000000000
3196,799/8,0,13/4000000000000000000000000000000
3197,3197/32,0,13/4000000000000000000000000000000
3198,1599/16,0,13/4000000000000000000000000000000
3199,3199/32,0,13/4000000000000000000000000000000
3200,100,0,13/4000000000000000000000000000000
3201,3201/32,0,13/4000000000000000000000000000000
3202,1601/16,0,13/4000000000000000000000000000000
3203,3203/32,0,13/4000000000000000000000000000000
3204,801/8,0,13/4000000000000000000000000000000
3205,3205/32,0,13/4000000000000000000000000000000
3206,1603/16,0,13/4000000000000000000000000000000
3207,3207/32,0,13/4000000000000000000000000000000
3208,401/4,0,13/4000000000000000000000000000000
3209,3209/32,0,13/4000000000000000000000000000000
3210,1605/16,0,13/4000000000000000000000000000000
3211,3211/32,0,13/4000000000000000000000000000000
3212,803/8,0,13/4000000000000000000000000000000
3213,3213/32,0,13/4000000000000000000000000000000
3214,1607/16,0,13/4000000000000000000000000000000
3215,3215/32,0,13/4000000000000000000000000000000
3216,201/2,0,13/4000000000000000000000000000000
3217,3217/32,0,13/4000000000000000000000000000000
3218,1609/16,0,13/4000000000000000000000000000000
3219,3219/32,0,13/4000000000000000000000000000000
3220,805/8,0,13/4000000000000000000000000000000
3221,3221/32,0,13/4000000000000000000000000000000
3222,1611/16,0,13/4000000000000000000000000000000
3223,3223/32,0,13/4000000000000000000000000000000
3224,403/4,0,13/4000000000000000000000000000000
3225,3225/32,0,13/4000000000000000000000000000000
3226,1613/16,0,13/4000000000000000000000000000000
3227,3227/32,0,13/4000000000000000000000000000000
3228,807/8,0,13/4000000000000000000000000000000
3229,3229/32,0,13/4000000000000000000000000000000
3230,1615/16,0,13/4000000000000000000000000000000
3231,3231/32,0,13/4000000000000000000000000000000
3232,101,0,13/4000000000000000000000000000000
3233,3233/32,0,13/4000000000000000000000000000000
3234,1617/16,0,13/4000000000000000000000000000000
3235,3235/32,0,13/4000000000000000000000000000000
3236,809/8,0,13/4000000000000000000000000000000
3237,3237/32,0,13/4000000000000000000000000000000
3238,1619/16,0,13/4000000000000000000000000000000
3239,3239/32,0,13/4000000000000000000000000000000
3240,405/4,0,13/4000000000000000000000000000000
3241,3241/32,0,13/4000000000000000000000000000000
3242,1621/16,0,13/4000000000000000000000000000000
3243,3243/32,0,13/4000000000000000000000000000000
3244,811/8,0,13/4000000000000000000000000000000
3245,3245/32,0,13/4000000000000000000000000000000
3246,1623/16,0,13/4000000000000000000000000000000
3247,3247/32,0,13/4000000000000000000000000000000
3248,203/2,0,13/4000000000000000000000000000000
3249,3249/32,0,13/4000000000000000000000000000000
3250,1625/16,0,13/4000000000000000000000000000000
3251,3251/32,0,13/4000000000000000000000000000000
3252,813/8,0,13/4000000000000000000000000000000
3253,3253/32,0,13/4000000000000000000000000000000
3254,1627/16,0,13/4000000000000000000000000000000
3255,3255/32,0,13/4000000000000000000000000000000
3256,407/4,0,13/4000000000000000000000000000000
3257,3257/32,0,13/4000000000000000000000000000000
3258,1629/16,0,13/4000000000000000000000000000000
3259,3259/32,0,13/4000000000000000000000000000000
3260,815/8,0,13/4000000000000000000000000000000
3261,3261/32,0,13/4000000000000000000000000000000
3262,1631/16,0,13/4000000000000000000000000000000
3263,3263/32,0,13/4000000000000000000000000000000
3264,102,0,13/4000000000000000000000000000000
3265,3265/32,0,13/4000000000000000000000000000000
3266,1633/16,0,13/4000000000000000000000000000000
3267,3267/32,0,13/4000000000000000000000000000000
3268,817/8,0,13/4000000000000000000000000000000
3269,3269/32,0,13/4000000000000000000000000000000
3270,1635/16,0,13/4000000000000000000000000000000
3271,3271/32,0,13/4000000000000000000000000000000
3272,409/4,0,13/4000000000000000000000000000000
3273,3273/32,0,13/4000000000000000000000000000000
3274,1637/16,0,13/4000000000000000000000000000000
3275,3275/32,0,13/4000000000000000000000000000000
3276,819/8,0,13/4000000000000000000000000000000
3277,3277/32,0,13/4000000000000000000000000000000
3278,1639/16,0,13/4000000000000000000000000000000
3279,3279/32,0,13/4000000000000000000000000000000
3280,205/2,0,13/4000000000000000000000000000000
3281,3281/32,0,13/4000000000000000000000000000000
3282,1641/16,0,13/4000000000000000000000000000000
3283,3283/32,0,13/4000000000000000000000000000000
3284,821/8,0,13/4000000000000000000000000000000
3285,3285/32,0,13/4000000000000000000000000000000
3286,1643/16,0,13/4000000000000000000000000000000
3287,3287/32,0,13/4000000000000000000000000000000
3288,411/4,0,13/4000000000000000000000000000000
3289,3289/32,0,13/4000000000000000000000000000000
3290,1645/16,0,13/4000000000000000000000000000000
3291,3291/32,0,13/4000000000000000000000000000000
3292,823/8,0,13/4000000000000000000000000000000
3293,3293/32,0,13/4000000000000000000000000000000
3294,1647/16,0,13/4000000000000000000000000000000
3295,3295/32,0,13/4000000000000000000000000000000
3296,103,0,13/4000000000000000000000000000000
3297,3297/32,0,13/4000000000000000000000000000000
3298,1649/16,0,13/4000000000000000000000000000000
3299,3299/32,0,13/4000000000000000000000000000000
3300,825/8,0,13/4000000000000000000000000000000
3301,3301/32,0,13/4000000000000000000000000000000
3302,1651/16,0,13/4000000000000000000000000000000
3303,3303/32,0,13/4000000000000000000000000000000
3304,413/4,0,13/4000000000000000000000000000000
3305,3305/32,0,13/4000000000000000000000000000000
3306,1653/16,0,13/4000000000000000000000000000000
3307,3307/32,0,13/4000000000000000000000000000000
3308,827/8,0,13/4000000000000000000000000000000
3309,3309/32,0,13/4000000000000000000000000000000
3310,1655/16,0,13/4000000000000000000000000000000
3311,3311/32,0,13/4000000000000000000000000000000
3312,207/2,0,13/4000000000000000000000000000000
3313,3313/32,0,13/4000000000000000000000000000000
3314,1657/16,0,13/4000000000000000000000000000000
3315,3315/32,0,13/4000000000000000000000000000000
3316,829/8,0,13/4000000000000000000000000000000
3317,3317/32,0,13/4000000000000000000000000000000
3318,1659/16,0,13/4000000000000000000000000000000
3319,3319/32,0,13/4000000000000000000000000000000
3320,415/4,0,13/4000000000000000000000000000000
3321,3321/32,0,13/4000000000000000000000000000000
3322,1661/16,0,13/4000000000000000000000000000000
3323,3323/32,0,13/4000000000000000000000000000000
3324,831/8,0,13/4000000000000000000000000000000
3325,3325/32,0,13/4000000000000000000000000000000
3326,1663/16,0,13/4000000000000000000000000000000
3327,3327/32,0,13/4000000000000000000000000000000
3328,104,0,13/4000000000000000000000000000000
3329,3329/32,0,13/4000000000000000000000000000000
3330,1665/16,0,13/4000000000000000000000000000000
3331,3331/32,0,13/4000000000000000000000000000000
3332,833/8,0,13/4000000000000000000000000000000
3333,3333/32,0,13/4000000000000000000000000000000
3334,1667/16,0,13/4000000000000000000000000000000
3335,3335/32,0,13/4000000000000000000000000000000
3336,417/4,0,13/4000000000000000000000000000000
3337,3337/32,0,13/4000000000000000000000000000000
3338,1669/16,0,13/4000000000000000000000000000000
3339,3339/32,0,13/4000000000000000000000000000000
3340,835/8,0,13/4000000000000000000000000000000
3341,3341/32,0,13/4000000000000000000000000000000
3342,1671/16,0,13/4000000000000000000000000000000
3343,3343/32,0,13/4000000000000000000000000000000
3344,209/2,0,13/4000000000000000000000000000000
3345,3345/32,0,13/4000000000000000000000000000000
3346,1673/16,0,13/4000000000000000000000000000000
3347,3347/32,0,13/4000000000000000000000000000000
3348,837/8,0,13/4000000000000000000000000000000
3349,3349/32,0,13/4000000000000000000000000000000
3350,1675/16,0,13/4000000000000000000000000000000
3351,3351/32,0,13/4000000000000000000000000000000
3352,419/4,0,13/4000000000000000000000000000000
3353,3353/32,0,13/4000000000000000000000000000000
3354,1677/16,0,13/4000000000000000000000000000000
3355,3355/32,0,13/4000000000000000000000000000000
3356,839/8,0,13/4000000000000000000000000000000
3357,3357/32,0,13/4000000000000000000000000000000
3358,1679/16,0,13/4000000000000000000000000000000
3359,3359/32,0,13/4000000000000000000000000000000
3360,105,0,13/4000000000000000000000000000000
3361,3361/32,0,13/4000000000000000000000000000000
3362,1681/16,0,13/4000000000000000000000000000000
3363,3363/32,0,13/4000000000000000000000000000000
3364,841/8,0,13/4000000000000000000000000000000
3365,3365/32,0,13/4000000000000000000000000000000
3366,1683/16,0,13/4000000000000000000000000000000
3367,3367/32,0,13/4000000000000000000000000000000
3368,421/4,0,13/4000000000000000000000000000000
3369,3369/32,0,13/4000000000000000000000000000000
3370,1685/16,0,13/4000000000000000000000000000000
3371,3371/32,0,13/4000000000000000000000000000000
